<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: SEMESTER_PROJECT_ALIGNMENT.csv>index,course_id,sprint_id,sprint_title,project_id,role,skill_ids,outcome_codes,evidence_ids,assessment_timing,gap_notes
0,MM12,MM12-S01,"Phone, Butterfly and Hoodie",FOUNDATIONS/BOOTCAMP,Existing phone portal/out-of-bounds resource,PS-LAY-01;PS-SEL-01;PS-TRN-01;GD-HIE-01,1.1;1.3;1.4;1.5,,Core prerequisite learning,Daily lessons D01-D10 built; canonical Truck project bridge still to formalize
1,MM12,MM12-S02,Moon Chair and believable worlds,PS-TURTLE-KINGDOM,Guided composite realism,PS-SEL-01;PS-LAY-01;PS-TRN-02;PS-LGT-02;PS-BLD-02;PS-TON-01;GD-HIE-01;GD-MET-01,1.1;1.3;1.4;1.5;4.1,TK-OBS-01;TK-OBS-02;TK-OBS-03;TK-CON-01;TK-CON-02;TK-PRO-01;TK-PRO-02;TK-PRO-03,Core/strong fit,Sprint-level daily lessons not yet fabricated
2,MM12,MM12-S02,Moon Chair and believable worlds,PS-ZEBRA-IRONING,Controlled-deformation extension,PS-WRP-01;PS-TRN-02;PS-LGT-02;GD-MET-01;GD-CRIT-01,1.1;1.3;1.4;1.5;4.1,ZI-OBS-01;ZI-OBS-02;ZI-OBS-03;ZI-CON-01;ZI-CON-02;ZI-PRO-01;ZI-PRO-02;ZI-PRO-03,Optional/advanced,Can follow Turtle or be choice project
3,MM12,MM12-S02,Moon Chair and believable worlds,PS-STORMBOUND,Surreal/cinematic composite transfer,PS-RET-01;PS-WRP-01;PS-FLT-01;PS-BLD-02;PS-LGT-02;GD-HIE-01;GD-CON-01,1.1;1.3;1.4;1.5;4.1,SB-OBS-01;SB-OBS-02;SB-OBS-03;SB-CON-01;SB-CON-02;SB-PRO-01;SB-PRO-02;SB-PRO-03,Optional/advanced,"Use as advanced transfer/choice, not all students need every S02 project"
4,MM12,MM12-S03,Camera and product photography,GAP,Original capture / product photography project,PS-CAM-01;GD-HIE-01;GD-AUD-01,1.1;1.2;1.3;1.4;1.5,,Not yet built,Need Truck Standard camera/product-photo project
5,MM12,MM12-S04,Branding and static campaign,PS-TRUCK-AD,Guided advertising / visual metaphor,PS-FLT-01;PS-BLD-02;PS-TYP-01;PS-DES-01;GD-HIE-01;GD-TYP-01;GD-AUD-01;GD-MET-01,1.1;1.2;1.4;1.5;4.1;4.2,TA-OBS-01;TA-OBS-02;TA-CON-01;TA-CON-02;TA-PRO-01;TA-PRO-02;TA-PRO-03;TA-QA-01,Core guided ad,Static campaign sprint; daily lesson package not yet fabricated
6,MM12,MM12-S04,Branding and static campaign,PS-CEREAL-BOX,Packaging / brand-system option,PS-SHP-01;PS-EFX-01;PS-SMO-01;PS-LGT-02;GD-HIE-01;GD-BRD-01;GD-AUD-01,1.1;1.4;1.5;4.1,CB-OBS-01;CB-OBS-02;CB-OBS-03;CB-CON-01;CB-CON-02;CB-PRO-01;CB-PRO-02;CB-PRO-03,Choice/branding project,Strong branding/client bridge
7,MM12,MM12-S04,Branding and static campaign,PS-LEMON-BURST,Advanced product key visual option,PS-SEL-02;PS-TRN-02;PS-TON-01;PS-LGT-02;PS-FLT-01;GD-HIE-01;GD-COL-01;GD-BRD-01,1.1;1.3;1.4;1.5;4.1,LB-OBS-01;LB-OBS-02;LB-OBS-03;LB-CON-01;LB-CON-02;LB-PRO-01;LB-PRO-02;LB-PRO-03,Choice/advanced ad,Use after foundational advertising skills
8,MM12,MM12-S05,After Effects: the brand moves,GAP,After Effects Truck Standard module,Future AE-*,2.1;2.2;2.3;2.4;2.5,,Not yet built,Need AE skills registry + tutorials
9,MM12,MM12-S06,Sound and motion advertisement,GAP,Motion + sound campaign,Future AE-/AUD-*,2.1;2.3;2.4;2.5;3.1;3.2;3.3;3.4;3.5,,Not yet built,Need sound/motion project
10,MM12,MM12-S07,3D campaign object or environment,BL-SKYBOUND,First 3D / Blender-to-Photoshop composite,BL-NAV-01;BL-IMP-01;BL-TRN-01;BL-HIE-01;BL-MAT-01;BL-CAM-01;BL-LGT-01;BL-RND-01;PS-LGT-02,1.3;2.1;2.3;2.4;2.5;4.1,SK-OBS-01;SK-OBS-02;SK-OBS-03;SK-CON-01;SK-CON-02;SK-PRO-01;SK-PRO-02;SK-PRO-03,Core intro 3D candidate,Only current BL project
11,MM12,MM12-S08,Collaborative audience experience,GAP,Collaborative/interactive production,Future domain skills,3.5;4.1;4.2;4.3,,Not yet built,Need project
12,MM12,MM12-S09,"Portfolio, transfer and defence",GAP,Independent/client final project + portfolio,PS-OUT-01;GD-AUD-01;GD-BRD-01;GD-CRIT-01,1.5;2.5;3.5;4.1;4.4;4.5,,Not yet built,Need independent capstone; existing RC projects can contribute portfolio evidence
13,COM11,COM11-S01,Micro-market: advert to card prototype,PS-TRUCK-AD,Optional guided advertising extension,PS-TYP-01;PS-DES-01;GD-HIE-01;GD-AUD-01,1.3;1.4;4.1;4.2;4.3;4.4;4.5,TA-OBS-02;TA-CON-02;TA-PRO-02;TA-PRO-03,Optional,Core S01 daily lessons already use a different micro-market advert
14,COM11,COM11-S02,"Identity, signage and persuasion",PS-ZEBRA-IRONING,Optional surreal persuasion / metaphor,PS-WRP-01;GD-MET-01;GD-AUD-01,1.4;4.1;4.4,ZI-OBS-02;ZI-CON-01;ZI-PRO-02,Optional extension,Use selectively; not required for fabrication spine
15,COM11,COM11-S02,"Identity, signage and persuasion",PS-LEMON-BURST,Optional product-ad extension,PS-TRN-02;GD-HIE-01;GD-COL-01;GD-BRD-01;GD-AUD-01,4.1;4.2;4.3;4.4;4.5,LB-OBS-02;LB-CON-01;LB-PRO-02;LB-PRO-03,Optional extension,Advanced visual-communication choice
